"y1" "y2" "algorithm" "prob" "repl"
0.999999999993533 3.23352455922077e-12 "nsga2" "zdt1_2d_2o" 1
2.45094743112073e-15 0.999999950492962 "nsga2" "zdt1_2d_2o" 1
0.147688368238309 0.615697556294188 "nsga2" "zdt1_2d_2o" 1
0.602113344657472 0.224040371773447 "nsga2" "zdt1_2d_2o" 1
0.639046096602177 0.200596411941381 "nsga2" "zdt1_2d_2o" 1
0.0948432181352424 0.69203373864138 "nsga2" "zdt1_2d_2o" 1
0.671431529602774 0.180590743521428 "nsga2" "zdt1_2d_2o" 1
0.76060826874288 0.127871415020657 "nsga2" "zdt1_2d_2o" 1
0.40946146308623 0.36010824111728 "nsga2" "zdt1_2d_2o" 1
0.508048337752289 0.287224903807887 "nsga2" "zdt1_2d_2o" 1
0.228078671607127 0.522424171877254 "nsga2" "zdt1_2d_2o" 1
0.0271002131693529 0.835378576227502 "nsga2" "zdt1_2d_2o" 1
0.0593622434809871 0.756356318611185 "nsga2" "zdt1_2d_2o" 1
0.0826135308208809 0.712574303826762 "nsga2" "zdt1_2d_2o" 1
0.250000548240498 0.499999451759804 "nsga2" "zdt1_2d_2o" 1
0.947671958194357 0.026515558319317 "nsga2" "zdt1_2d_2o" 1
0.923572479801748 0.0389732158942274 "nsga2" "zdt1_2d_2o" 1
0.834108878503134 0.0867043860270735 "nsga2" "zdt1_2d_2o" 1
0.330801843367213 0.424846243716956 "nsga2" "zdt1_2d_2o" 1
0.354818937096118 0.404333199613882 "nsga2" "zdt1_2d_2o" 1
0.456762805796784 0.324157706416407 "nsga2" "zdt1_2d_2o" 1
0.0229779992200123 0.848415042896935 "nsga2" "zdt1_2d_2o" 1
0.495754483033325 0.295901652451023 "nsga2" "zdt1_2d_2o" 1
0.794394527596639 0.108711871729301 "nsga2" "zdt1_2d_2o" 1
0.130805370766185 0.638329748574571 "nsga2" "zdt1_2d_2o" 1
0.81584825832044 0.0967568110855228 "nsga2" "zdt1_2d_2o" 1
0.435611940967079 0.339990953875448 "nsga2" "zdt1_2d_2o" 1
0.115494649453109 0.660154962854866 "nsga2" "zdt1_2d_2o" 1
0.975867763462914 0.0121398057101263 "nsga2" "zdt1_2d_2o" 1
0.380677021574468 0.38300970706648 "nsga2" "zdt1_2d_2o" 1
0.174111506037498 0.582733291482007 "nsga2" "zdt1_2d_2o" 1
0.260086022084064 0.490013704023435 "nsga2" "zdt1_2d_2o" 1
0.844927781017565 0.0808004673979161 "nsga2" "zdt1_2d_2o" 1
0.191241875352205 0.562687897090044 "nsga2" "zdt1_2d_2o" 1
0.340694733164734 0.416309385748997 "nsga2" "zdt1_2d_2o" 1
0.581667199132693 0.237328905010431 "nsga2" "zdt1_2d_2o" 1
0.809336422584987 0.100368729654176 "nsga2" "zdt1_2d_2o" 1
0.314174634148924 0.43948716861364 "nsga2" "zdt1_2d_2o" 1
0.0691022986675194 0.737126839202804 "nsga2" "zdt1_2d_2o" 1
0.652994269656364 0.1919193916105 "nsga2" "zdt1_2d_2o" 1
0.216813003230028 0.534368167722584 "nsga2" "zdt1_2d_2o" 1
0.000617068905686982 0.975159128322766 "nsga2" "zdt1_2d_2o" 1
0.865978734553153 0.0694202159121197 "nsga2" "zdt1_2d_2o" 1
0.291893047717162 0.459728727659259 "nsga2" "zdt1_2d_2o" 1
0.208414170134445 0.543475991721805 "nsga2" "zdt1_2d_2o" 1
0.896705994471137 0.0530543867625301 "nsga2" "zdt1_2d_2o" 1
0.19586703571504 0.557431320905985 "nsga2" "zdt1_2d_2o" 1
0.161065333532255 0.598670542406784 "nsga2" "zdt1_2d_2o" 1
0.300733486014742 0.451608273207684 "nsga2" "zdt1_2d_2o" 1
