"y1" "y2" "algorithm" "problem" "run"
0.000275995163956232 1.01564318955336 "nsga2" "zdt1_2d_2o" 1
0.998854203326528 0.00890106343594841 "nsga2" "zdt1_2d_2o" 1
0.0893838557649093 0.70122864201169 "nsga2" "zdt1_2d_2o" 1
0.268057121532229 0.494430523070438 "nsga2" "zdt1_2d_2o" 1
0.0708567530702385 0.740288015738033 "nsga2" "zdt1_2d_2o" 1
0.23902404543608 0.520698970979083 "nsga2" "zdt1_2d_2o" 1
0.219152164376182 0.541588074666882 "nsga2" "zdt1_2d_2o" 1
0.797114470027134 0.109793712853321 "nsga2" "zdt1_2d_2o" 1
0.620173448637836 0.212490611858816 "nsga2" "zdt1_2d_2o" 1
0.105020860746659 0.678894796139143 "nsga2" "zdt1_2d_2o" 1
0.764790924167238 0.125795842531932 "nsga2" "zdt1_2d_2o" 1
0.197783701829499 0.56001574657334 "nsga2" "zdt1_2d_2o" 1
0.736297045748926 0.14760923645885 "nsga2" "zdt1_2d_2o" 1
0.296805842882325 0.457796732583243 "nsga2" "zdt1_2d_2o" 1
0.541785637041137 0.264109763894609 "nsga2" "zdt1_2d_2o" 1
0.602260511894272 0.227898870189142 "nsga2" "zdt1_2d_2o" 1
0.038479997357712 0.810255607592955 "nsga2" "zdt1_2d_2o" 1
0.917364206209169 0.0457129388107569 "nsga2" "zdt1_2d_2o" 1
0.16251361384786 0.599621171131546 "nsga2" "zdt1_2d_2o" 1
0.958359368166635 0.0265061650438614 "nsga2" "zdt1_2d_2o" 1
0.285265925466689 0.469278823289142 "nsga2" "zdt1_2d_2o" 1
0.873417767659129 0.0656410553270343 "nsga2" "zdt1_2d_2o" 1
0.935632316014611 0.0334003359169634 "nsga2" "zdt1_2d_2o" 1
0.70693870423908 0.161407349047902 "nsga2" "zdt1_2d_2o" 1
0.982587554768744 0.00917084224629281 "nsga2" "zdt1_2d_2o" 1
0.640081776870546 0.202801686533551 "nsga2" "zdt1_2d_2o" 1
0.274254036005479 0.479896854083186 "nsga2" "zdt1_2d_2o" 1
0.494207670040088 0.307468335565951 "nsga2" "zdt1_2d_2o" 1
0.965818264727891 0.0187220246289416 "nsga2" "zdt1_2d_2o" 1
0.566883012582216 0.256721786465506 "nsga2" "zdt1_2d_2o" 1
0.231471530711171 0.528534199401868 "nsga2" "zdt1_2d_2o" 1
0.367258326964304 0.398339652464536 "nsga2" "zdt1_2d_2o" 1
0.0297844678441542 0.832746818458343 "nsga2" "zdt1_2d_2o" 1
0.0150542855604021 0.880841874135425 "nsga2" "zdt1_2d_2o" 1
0.0132696690808576 0.889289215050287 "nsga2" "zdt1_2d_2o" 1
0.701186928571194 0.167931808295905 "nsga2" "zdt1_2d_2o" 1
0.389132477257922 0.385193277665164 "nsga2" "zdt1_2d_2o" 1
0.000459295859742054 0.983336750564756 "nsga2" "zdt1_2d_2o" 1
0.00114037628439185 0.96909421355846 "nsga2" "zdt1_2d_2o" 1
0.86217201816565 0.0746019535237453 "nsga2" "zdt1_2d_2o" 1
0.140472499783727 0.62919271521578 "nsga2" "zdt1_2d_2o" 1
0.454893406886584 0.327068069117364 "nsga2" "zdt1_2d_2o" 1
0.0645997347871591 0.748994712098485 "nsga2" "zdt1_2d_2o" 1
0.890045139258884 0.059160549808687 "nsga2" "zdt1_2d_2o" 1
0.579899494807709 0.241856646020313 "nsga2" "zdt1_2d_2o" 1
0.190600260073681 0.572311329701766 "nsga2" "zdt1_2d_2o" 1
0.000400937221757491 1.00328907067128 "nsga2" "zdt1_2d_2o" 1
0.178538013537613 0.585886975511596 "nsga2" "zdt1_2d_2o" 1
0.518233717860984 0.281771279065133 "nsga2" "zdt1_2d_2o" 1
0.407604434270073 0.366007821841555 "nsga2" "zdt1_2d_2o" 1
0.824464698669803 0.095910146220043 "nsga2" "zdt1_2d_2o" 1
0.675549049094266 0.188048041008063 "nsga2" "zdt1_2d_2o" 1
0.851204519018376 0.0779195495490724 "nsga2" "zdt1_2d_2o" 1
